image_id,image_filename,country,source,category,contains_leaf,leaf_visibility,health_observable,usable_for_cropping,notes
BH_192,20251227_093105.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_193,20251227_093157.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,high resolution
BH_194,20251227_093021.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_195,20251227_093019.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_196,20251227_092938.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_197,20251227_093402.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,partial sides
BH_198,20251227_093227.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,some overlap
BH_199,20251227_093002.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_200,20251227_092908.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_201,20251227_093111.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_202,20251227_093540.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_203,20251227_093427.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,"medium resolution, flower"
BH_204,20251227_093432.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,
BH_205,20251227_092934.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_206,20251227_093525.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_207,20251227_092906.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_208,20251227_093550.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_209,20251227_093753.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_210,20251227_093532.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_211,20251227_093417.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_212,20251227_093812.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_213,20251227_093636.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_214,20251227_093801.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_215,20251227_093834.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_216,20251227_093826.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_217,20251227_093443.jpg,Bahrain,Field(Ras Sanad),B,yes,clear,yes,yes,medium resolution
BH_218,20251227_093831.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_219,20251227_093938.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_220,20251227_093556.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_221,20251227_093951.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_222,20251227_093736.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,medium resolution
BH_223,20251227_093732.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_224,20251227_094002.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_225,20251227_093947.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_226,20251227_094020.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_227,20251227_094050.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,medium resolution
BH_228,20251227_094029.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_229,20251227_093941.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_230,20251227_094039.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_231,20251227_094111.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_232,20251227_094056.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_233,20251227_094057.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_234,20251227_094301.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_235,20251227_094250.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_236,20251227_094412.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_237,20251227_094142.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
BH_238,20251227_094317.jpg,Bahrain,Field(Ras Sanad),A,yes,clear,yes,yes,
